	ligand_name	optimal_box_size	euclid_dist_origin	ligand_center
0	ligand_001	2.426	0.0	['0.00', '0.00', '0.00']
1	ligand_002	5.854	0.9171214480059536	['0.91', '-0.10', '0.05']
2	ligand_003	10.129	0.4922842497457834	['-0.24', '0.42', '-0.09']
3	ligand_004	10.066	0.4695156407655905	['-0.14', '0.39', '0.23']
4	ligand_005	13.210	0.45136104473946376	['0.07', '-0.44', '0.07']
5	ligand_006	14.723	0.4513941860088491	['0.12', '-0.00', '-0.44']
6	ligand_007	14.683	0.5892629522451782	['-0.58', '-0.07', '-0.04']
7	ligand_008	14.696	0.5921878318025796	['-0.58', '-0.00', '0.13']
8	ligand_009	10.382	0.48715070429830243	['0.44', '0.06', '0.19']
9	ligand_010	25.808	1.2529370968143765	['1.25', '0.02', '0.10']
10	ligand_011	24.448	1.2686794436006594	['1.26', '-0.10', '-0.05']
11	ligand_012	21.056	0.4006562819013057	['-0.01', '-0.37', '-0.15']
12	ligand_013	14.498	0.5140109740319764	['0.24', '0.43', '0.15']
13	ligand_014	9.696	0.2513220634527689	['0.18', '0.06', '-0.16']
14	ligand_015	14.583	0.16522310221850356	['-0.09', '-0.03', '-0.14']
15	ligand_016	15.314	0.26438234151373463	['-0.24', '0.01', '0.12']
16	ligand_017	9.415	0.21601388300123434	['0.21', '-0.02', '0.02']
17	ligand_018	9.514	0.4113928050185714	['0.34', '-0.22', '0.08']
18	ligand_019	14.578	0.16795046567672284	['0.07', '-0.08', '0.13']
